rank,score,picks,winrate,avg_odds,profit,roi,max_drawdown,test_picks,test_profit,test_roi,positive_folds,complexity,rule_id,rule_json
11,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,ce4c12cda5345fc5bc13305385dd44a1,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": 0.03, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
12,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,069fa02504c8971c92d9012adf87796f,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 2, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
13,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,1cb7a0943115e97a642758f1c6649055,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": 1.75, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
14,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,8d0db0180478faacaae49661856de2e8,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": 2.2, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
15,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,7dc086455724f672a6c8242f87802d58,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": 0.055, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
16,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,c2f64fa3bcf499bb6ba8e1ddf773fa53,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": 52.5, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
17,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,b47a42e3a5f32ab08f55da65baa10995,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": 3, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
18,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,2d64d0d2113d7f4edc67e1c8b7a0d267,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": null, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": 2.4, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
19,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,59fa4e354260235d190bba8b6e2b298e,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": 0.0, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
20,312.5786,72,0.7429,2.0383,35.69,0.509857,-2.0,19,13.15,0.692105,4,9,acefdfd5997b49c0acbb4741e75d1592,"{""abs_margin_min"": null, ""avg_close_set_max"": 0.55, ""avg_close_set_min"": 0.2, ""avg_over_21_5_max"": null, ""avg_over_21_5_min"": null, ""avg_three_set_max"": null, ""avg_three_set_min"": 0.15, ""best_bookmaker"": ""any"", ""bookmakers_min"": null, ""confidence_min"": 80, ""edge_max"": null, ""edge_min"": 0.04, ""expected_margin_max"": null, ""expected_margin_min"": null, ""gender"": ""any"", ""h2h_max"": 0, ""h2h_min"": null, ""line_max"": null, ""line_min"": null, ""market_favorite_side"": ""any"", ""market_gap_max"": null, ""market_gap_min"": 0.25, ""min_recent_matches_min"": null, ""odds_max"": null, ""odds_min"": null, ""qualification"": ""any"", ""quality_min"": 72, ""side"": ""any"", ""strength_gap_max"": 30, ""strength_gap_min"": null, ""tour_level"": ""any""}"
