date,time,rank,match,pick,side,line,odds,bookmaker,result,total_games,final_score,profit,stake,jakob_score,confidence,quality_score,edge_percent,market_gap,tournament,event_type
2026-06-08,13:30,9,K. Cross - T. Martincova,UNDER 20.5 games,under,20.5,1.96,Pncl,win,19,"3-6, 4-6",0.72,0.75,72.18792253,89.3,73.1,5.98,0.4157,Ilkley,Challenger Women Singles
2026-06-08,13:00,9,R. Noguchi - K. Smith,OVER 22.5 games,over,22.5,1.93,Pncl,win,27,"3-6, 6-4, 2-6",0.698,0.75,72.13208032,83.8,75.8,10.19,0.0441,Ilkley,Challenger Men Singles
2026-06-08,12:30,13,B. Bonzi - M. Rottgering,UNDER 21.5 games,under,21.5,2.06,1xBet,win,20,"6-4, 6-4",0.795,0.75,71.26775037,88.9,80.5,8.46,0.4835,Hertogenbosch,Atp Singles
2026-06-08,12:30,7,D. Kasatkina - R. Montgomery,UNDER 20.5 games,under,20.5,2.07,Unibet,loss,28,"7-5, 0-6, 4-6",-0.75,0.75,72.29951724,89.7,83.7,8.69,0.3347,Hertogenbosch,Wta Singles
2026-06-08,12:30,6,C. Naef - M. Kobori,UNDER 18.5 games,under,18.5,2.05,1xBet,loss,24,"7-5, 7-5",-0.75,0.75,72.5201565,76.7,72.6,8.22,0.711,Ilkley,Challenger Women Singles
2026-06-08,12:00,14,V. Sachko - Y. Watanuki,UNDER 20.5 games,under,20.5,2.18,Pncl,loss,21,"6-2, 7-6",-0.75,0.75,70.16498578,73.4,77.4,11.13,0.4572,Bratislava,Challenger Men Singles
2026-06-08,12:00,5,H. Tan - E. Appleton,UNDER 20.5 games,under,20.5,2.03,Pncl,loss,21,"7-5, 6-3",-0.75,0.75,73.48790461,77.4,71.8,7.74,0.4518,Ilkley,Challenger Women Singles
2026-06-08,12:00,3,L. Neumayer - T. Daniel,UNDER 20.0 games,under,20.0,2.19,Pncl,win,19,"4-6, 3-6",0.892,0.75,75.42971657,84.5,80.9,11.34,0.4854,Bratislava,Challenger Men Singles
2026-06-08,11:00,1,E. Alexandrova - P. Udvardy,UNDER 19.5 games,under,19.5,2.02,Pncl,loss,23,"4-6, 6-7",-0.75,0.75,76.9077522,91.7,83.4,7.5,0.6111,Hertogenbosch,Wta Singles
2026-06-08,10:30,4,L. Ratti - H. S. Callejon,OVER 21.5 games,over,21.5,2.04,Pncl,win,30,"6-7, 6-3, 2-6",0.78,0.75,74.62217955,88.9,83.5,12.98,0.1522,Cattolica (Italy) - Qualification,Challenger Men Singles
2026-06-07,14:30,7,M. Inglis - A. Parks,UNDER 20.5 games,under,20.5,2.05,10Bet,loss,32,"5-7, 6-4, 6-4",-0.75,0.75,75.77359726,90.9,83.9,8.22,0.3481,London,Wta Singles
2026-06-07,14:30,2,T. Maria - L. Miyazaki,UNDER 19.5 games,under,19.5,1.95,Betano,loss,23,"6-2, 1-6, 6-2",-0.75,0.75,80.45163939,90.9,77.1,5.72,0.5929,London,Wta Singles
2026-06-07,14:00,4,B. Bonzi - B. Tomic,UNDER 22.5 games,under,22.5,2.12,Unibet,loss,33,"6-7, 6-2, 7-5",-0.75,0.75,77.35790751,87.3,80.9,9.83,0.4185,Hertogenbosch,Atp Singles
2026-06-07,13:30,9,Q. Vandecasteele - C. Broom,UNDER 21.5 games,under,21.5,1.97,Marathon,win,16,"3-6, 1-6",0.728,0.75,72.06640282,87.7,71.3,6.24,0.5795,Ilkley,Challenger Men Singles
2026-06-07,13:30,5,F. Forti - L. Castagnola,UNDER 19.0 games,under,19.0,2.1,Pncl,loss,28,"4-6, 6-4, 6-2",-0.75,0.75,76.21925288,82.1,73.7,9.38,0.7382,Cattolica (Italy) - Qualification,Challenger Men Singles
2026-06-07,12:30,11,R. Safiullin - A. Galarneau,UNDER 21.5 games,under,21.5,2.05,Pncl,loss,36,"4-6, 7-6, 6-7",-0.75,0.75,71.04750218,79.1,72.4,8.22,0.5143,Stuttgart,Atp Singles
2026-06-07,12:30,6,M. Alkaya - P. Herbert,UNDER 22.5 games,under,22.5,1.98,Unibet,loss,23,"6-7, 4-6",-0.75,0.75,75.9939324,90.9,77.5,6.49,0.4949,Stuttgart,Atp Singles
2026-06-07,12:00,3,F. Zakaria - M. Erhard,UNDER 19.0 games,under,19.0,2.15,Pncl,win,15,"2-6, 1-6",0.862,0.75,79.04566227,82.1,76.7,10.49,0.7174,Bratislava,Challenger Men Singles
2026-06-07,11:00,8,E. Seidel - G. Minnen,UNDER 20.5 games,under,20.5,2.13,Pncl,loss,21,"1-6, 6-2, 0-6",-0.75,0.75,72.21082293,87.3,82.4,10.05,0.2412,Hertogenbosch,Wta Singles
2026-06-07,11:00,1,M. Damm - J. P. Ficovich,UNDER 21.5 games,under,21.5,2.17,Pncl,win,16,"6-2, 6-2",0.877,0.75,82.25214583,86.9,85.7,10.92,0.6094,Hertogenbosch,Atp Singles
2026-06-07,10:30,10,M. Krumich - V. Durasovic,UNDER 21.0 games,under,21.0,2.11,Pncl,loss,23,"6-4, 7-6",-0.75,0.75,71.51622505,86.5,78.6,9.61,0.4606,Bratislava,Challenger Men Singles
2026-06-06,19:00,2,T. C. Grant - D. Astakhova,UNDER 19.5 games,under,19.5,2.14,Pncl,win,17,"6-2, 6-3",0.855,0.75,75.77433402,86.2,85.1,10.27,0.4451,Foggia (Italy),Challenger Women Singles
2026-06-06,15:00,3,M. Chwalinska - M. Andreeva,UNDER 19.5 games,under,19.5,2.0,Betfair,win,17,"3-6, 2-6",0.75,0.75,74.91612495,91.7,80.3,7.0,0.5531,French Open,Wta Singles
2026-06-06,13:30,4,D. Dedura - L. Mikrut,OVER 21.5 games,over,21.5,1.85,Pncl,loss,20,"4-6, 4-6",-0.75,0.75,70.6617236,86.9,74.8,7.95,0.0797,Heilbronn,Challenger Men Singles
2026-06-06,12:30,1,L. Castelnuovo - J. Rodionov,UNDER 20.5 games,under,20.5,2.05,Unibet,win,17,"1-6, 4-6",0.787,0.75,81.53353212,87.2,78.3,8.22,0.6908,Stuttgart,Atp Singles
2026-06-05,18:00,5,A. Walton - T. Legout,UNDER 19.5 games,under,19.5,2.1,Betfair,win,16,"6-2, 6-2",0.825,0.75,71.99351302,86.5,77.2,9.38,0.7002,Tyler,Challenger Men Singles
2026-06-05,16:00,6,H. Searle - K. Poling,UNDER 19.0 games,under,19.0,2.11,Pncl,loss,31,"6-7, 6-3, 3-6",-0.75,0.75,70.55834673,82.1,75.1,9.61,0.777,Tyler,Challenger Men Singles
