date,time,match,bet,odds,best_bookmaker,market_median_odds,best_to_median_gap,edge,model_prob,implied_prob,confidence,quality_score,tour_level,event_type,favorite_type,sabina_stake,sabina_reason,event_key,fixture_id,pick_id,sabina_pick_id
2026-06-03,10:00,A. Raggi - D. Spiteri,A. Raggi,2.5,Betfair,2.3,0.0846,0.26,0.66,0.4,88,90.9,itf,Itf Women Singles,underdog,1.0,"Sabina PLAY: best_to_median_gap=0.0846, opponent_l5_game_diff=-4.2, odds=2.5. Formula: gap >= 0.06, opponent L5 game diff <= 1.5, odds <= 2.60.",12132933,12132933,dd3fa16e10a10de6b877cc3f98009567,90a5f8774d39aeab62784cd370b46a4a
2026-06-03,11:30,M. Dodig - G. Den Ouden,M. Dodig,2.48,Pncl,2.3,0.0783,0.2568,0.66,0.4032,88,90.9,challenger,Challenger Men Singles,underdog,1.25,"Sabina PLAY: best_to_median_gap=0.0783, opponent_l5_game_diff=0.4, odds=2.48. Formula: gap >= 0.06, opponent L5 game diff <= 1.5, odds <= 2.60.",12132711,12132711,3eaf51ec0e64b3a422a9910a66527ac9,0c011f16f5c87a7dc75b4bff6dcb9cf2
2026-06-03,13:00,S. Shimabukuro - S. Mochizuki,S. Shimabukuro,1.95,Pncl,1.83,0.0656,0.1472,0.66,0.5128,88,92.9,challenger,Challenger Men Singles,favorite,1.0,"Sabina PLAY: best_to_median_gap=0.0656, opponent_l5_game_diff=-5.0, odds=1.95. Formula: gap >= 0.06, opponent L5 game diff <= 1.5, odds <= 2.60.",12132325,12132325,12f64b1316e9c3d2c120c610611f26ae,b68b730f7bc8a336d063b42e4d53db48
